Symbol,Date,Close,Volume
NICA,2019-08-22,454.0,"42,153.00"
NICA,2019-08-21,454.0,"38,058.00"
NICA,2019-08-20,453.0,"29,190.00"
NICA,2019-08-19,460.0,"37,488.00"
NICA,2019-08-18,451.0,"54,223.00"
NICA,2019-08-15,444.0,"46,360.00"
NICA,2019-08-14,443.0,"18,041.00"
NICA,2019-08-13,449.0,"5,472.00"
NICA,2019-08-12,450.0,"12,265.00"
NICA,2019-08-11,449.0,"11,993.00"
NICA,2019-08-08,449.0,"15,933.00"
NICA,2019-08-07,453.0,"17,917.00"
NICA,2019-08-06,458.0,"43,065.00"
NICA,2019-08-05,465.0,"34,781.00"
NICA,2019-08-04,467.0,"12,134.00"
NICA,2019-08-01,467.0,"20,007.00"
NICA,2019-07-31,468.0,"12,296.00"
NICA,2019-07-30,465.0,"7,866.00"
NICA,2019-07-29,462.0,"15,259.00"
NICA,2019-07-28,459.0,"47,251.00"
NICA,2019-07-25,467.0,"33,130.00"
NICA,2019-07-24,474.0,"32,270.00"
NICA,2019-07-23,465.0,"12,440.00"
NICA,2019-07-22,463.0,"16,651.00"
NICA,2019-07-21,461.0,"14,798.00"
NICA,2019-07-18,459.0,"28,359.00"
NICA,2019-07-17,456.0,"26,501.00"
NICA,2019-07-16,448.0,"14,110.00"
NICA,2019-07-15,446.0,"46,364.00"
NICA,2019-07-14,443.0,"15,141.00"
NICA,2019-07-11,445.0,"39,147.00"
NICA,2019-07-10,445.0,"37,178.00"
NICA,2019-07-09,449.0,"42,350.00"
NICA,2019-07-08,452.0,"31,564.00"
NICA,2019-07-07,458.0,"22,121.00"
NICA,2019-07-04,462.0,"16,735.00"
SBL,2024-07-04,259.9,"42,817.00"
SBL,2024-07-03,253.0,"45,374.00"
SBL,2024-07-02,250.8,"33,013.00"
SBL,2024-07-01,242.5,"22,042.00"
SBL,2024-06-30,238.6,"22,910.00"
SBL,2024-06-27,241.0,"14,796.00"
SBL,2024-06-26,242.0,"33,346.00"
SBL,2024-06-25,242.1,"21,927.00"
SBL,2024-06-24,246.0,"51,992.00"
SBL,2024-06-23,245.9,"37,504.00"
SBL,2024-06-20,245.0,"87,352.00"
SBL,2024-06-19,252.0,"29,506.00"
SBL,2024-06-18,248.0,"23,534.00"
SBL,2024-06-16,248.2,"35,205.00"
